Časová pečiatka	Moje povolanie je:	Počet rokov praxe v odbore:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	Na základe akého atribútu som najviac vedel/a rozlíšiť fotky:
Dataset			stylegan_front	ganformer	stylegan_mixleft	stylegan_mixupper	real_lower	real_right	stylegan_mixfront	stylegan_mixlower	stylegan_lower	real_left	real_front	real_front	ganformer	stylegan_mixright	real_lower	stylegan_lower	stylegan_side	real_right	real_left	real_lower	stylegan_upper	ganformer	stylegan_side	stylegan_side	stylegan_mixfront	stylegan_upper	stylegan_lower	real_left	stylegan_mixfront	stylegan_upper	stylegan_mixleft	stylegan_front	stylegan_front	real_front	real_front	stylegan_side	real_upper	stylegan_upper	stylegan_lower	real_upper	stylegan_mixfront	stylegan_mixlower	stylegan_upper	real_upper	real_right	stylegan_front	real_lower	real_upper	stylegan_mixupper	stylegan_mixlower	stylegan_mixupper	real_right	stylegan_mixright	stylegan_side	stylegan_mixright	real_upper	real_right	stylegan_mixleft	stylegan_mixleft	stylegan_mixupper	real_front	ganformer	real_left	stylegan_front	real_lower	stylegan_mixlower	ganformer	stylegan_lower	real_left	stylegan_mixright	
28.7.2023 12:35:26	iné		reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	nevedel som
28.7.2023 14:10:32	dentálny/a hygienik/čka	7	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	podľa mäkkých tkanív
28.7.2023 14:36:31	zubný/á asisent/ka	15	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	podľa zubov
28.7.2023 15:32:43	zubný/á lekár/ka	12	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	podľa mäkkých tkanív
28.7.2023 15:40:34	zubný/á asisent/ka	1	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	podľa zubov
28.7.2023 15:59:03	zubný/á lekár/ka	3	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	podľa mäkkých tkanív
28.7.2023 17:24:51	dentálny/a hygienik/čka	Študent 	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	podľa mäkkých tkanív
28.7.2023 17:28:13	zubný/á asisent/ka	1	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	podľa mäkkých tkanív
28.7.2023 17:34:30	zubný/á lekár/ka	3	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	podľa mäkkých tkanív
28.7.2023 17:37:14	zubný/á lekár/ka	4	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	podľa mäkkých tkanív
28.7.2023 18:13:48	zubný/á lekár/ka	2	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	podľa mäkkých tkanív
28.7.2023 19:06:31	dentálny/a hygienik/čka	21	reálna	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	vygenerovaná	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	vygenerovaná	vygenerovaná	reálna	reálna	reálna	reálna	vygenerovaná	reálna	reálna	reálna	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	vygenerovaná	vygenerovaná	reálna	vygenerovaná	podľa mäkkých tkanív
